feature,coef,clean_feature
word_tfidf__aldo,0.006574785701103823,word: aldo
word_tfidf__alec,-0.012709390231708442,word: alec
word_tfidf__alert,0.06316551486623678,word: alert
word_tfidf__alex,-0.23189419450569657,word: alex
word_tfidf__alexander,0.0420821668554904,word: alexander
word_tfidf__alfred,0.08334849033244988,word: alfred
word_tfidf__alfredo,0.04016619104913265,word: alfredo
word_tfidf__algerian,-0.010978815750384641,word: algerian
word_tfidf__ali,-0.01689997185880306,word: ali
word_tfidf__alice,-0.06710058186745219,word: alice
word_tfidf__alien,-0.023568753111456668,word: alien
word_tfidf__aliens,-0.05074010136436602,word: aliens
word_tfidf__alike,-0.04282957409960854,word: alike
word_tfidf__aline,-0.030668083720772357,word: aline
word_tfidf__alison,-0.018407144126584004,word: alison
word_tfidf__alive,-0.0497141844681535,word: alive
word_tfidf__allen,0.06118704804515173,word: allen
word_tfidf__alley,0.04173482979116648,word: alley
word_tfidf__alley night,0.013157711464249166,word: alley night
word_tfidf__alleyway,-0.03681554533554864,word: alleyway
word_tfidf__allie,-0.05391953405973881,word: allie
word_tfidf__allison,-0.14475164074289912,word: allison
word_tfidf__allow,0.057333296305829964,word: allow
word_tfidf__allowed,0.05310858124969442,word: allowed
word_tfidf__allowing,-0.005409877680081229,word: allowing
word_tfidf__allows,0.039468288083789715,word: allows
word_tfidf__alma,-0.01969147509112014,word: alma
word_tfidf__alongside,0.1462144216013816,word: alongside
word_tfidf__alonzo,0.09503171625411003,word: alonzo
word_tfidf__aloud,0.04708367249571809,word: aloud
word_tfidf__alpha,0.1426464995876294,word: alpha
word_tfidf__alright,-0.11537404641221825,word: alright
word_tfidf__altar,-0.10562282563324109,word: altar
word_tfidf__altogether,-0.006942690494388465,word: altogether
word_tfidf__aluminum,-0.0075465943650888725,word: aluminum
word_tfidf__alvin,-0.07571168305901664,word: alvin
word_tfidf__amanda,-0.033265712221533156,word: amanda
word_tfidf__amazed,0.14123322295859475,word: amazed
word_tfidf__amazement,0.08885748632515875,word: amazement
word_tfidf__amazing,-0.08150053166867216,word: amazing
word_tfidf__ambassador,0.1938788472083624,word: ambassador
word_tfidf__amber,-0.05667747329973423,word: amber
word_tfidf__ambrose,-0.07773699086673608,word: ambrose
word_tfidf__ambulance,-0.08067815243228763,word: ambulance
word_tfidf__ambush,0.10840010763335205,word: ambush
word_tfidf__amelia,0.0037964348533971867,word: amelia
word_tfidf__amen,-0.007173960994452013,word: amen
word_tfidf__america,0.010042414061183079,word: america
word_tfidf__american,-0.010289137968694287,word: american
word_tfidf__americans,0.10305511950534586,word: americans
word_tfidf__amid,0.10567186926157254,word: amid
word_tfidf__amidst,0.017021939011279057,word: amidst
word_tfidf__ammo,-0.09928861276860422,word: ammo
word_tfidf__ammunition,0.025223157146732077,word: ammunition
word_tfidf__amsterdam,0.06434190484563092,word: amsterdam
word_tfidf__amused,-0.10635680544455794,word: amused
word_tfidf__amusement,-0.06005280012424836,word: amusement
word_tfidf__amy,-0.37562111136698434,word: amy
word_tfidf__amy cont,-0.13592572566364122,word: amy cont
word_tfidf__ana,0.00843861069736211,word: ana
word_tfidf__anchor,-0.2065133320726019,word: anchor
word_tfidf__ancient,-0.113361832043164,word: ancient
word_tfidf__anders,-0.04271235025630703,word: anders
word_tfidf__andersen,-0.05996168487237489,word: andersen
word_tfidf__anderson,0.12082098698277079,word: anderson
